index,trading_name,latitude,longitude,Address
0,Lawlor's,52.6980223,-6.9314953,"Kilcarrig St, Co. Carlow, Ireland"
2,The Tara Arms,52.8032534,-6.734699699999999,"Tara Arms, Church Street, Tullow, Co. Carlow, R93 T6K9, Ireland"
4,The Ridge Bar,52.7364507,-7.02344,"Oldleighlin, Co. Carlow, Ireland"
7,Joe Doyles,52.7389883,-6.769584800000001,"Main Street, Ballon, Co. Carlow, Ireland"
8,The Red Lion,52.7027704,-6.9617891,"Regent Street, Muine Bheag, R21 F300, Ireland"
10,Carey's Pub,52.35180829999999,-7.711275,"47 Irishtown, Greenan, Clonmel, Co. Tipperary, Ireland"
11,Carpe Diem,52.8387338,-6.9302297,"Court Pl, Graigue, Carlow, Ireland"
12,Jimmy D's,52.702641,-6.9603721,"Regent St, Moneybeg, Muine Bheag, Co. Carlow, Ireland"
17,The Ardattin Inn,52.7536065,-6.706720499999999,"Ardattin, Carlow, Ireland"
20,Lawlors,52.7020998,-6.956016699999999,"Market Square, Kilcarrig, Bagenalstown, Co. Carlow, Ireland"
21,High Nellys,52.6737766,-6.8413742,"Milltown, Co. Carlow, Ireland"
23,O'loughlin's Bar,52.8371886,-6.931819099999999,"53 Dublin St, Graigue, Carlow, R93 R221, Ireland"
27,Walshes,52.84305939999999,-6.7890643000000015,"Killerrig, Co. Carlow, Ireland"
28,The Med Bar,52.8361963,-6.928342799999999,"112 Tullow St, Carlow, Ireland"
29,Meaney's Bar,52.7362346,-6.979156799999999,"Main St, Ballyknockan, Co. Carlow, Ireland"
30,J J's Bar,52.8023919,-6.7360196,"Mill St, Templeowen, Tullow, Co. Carlow, Ireland"
32,The Grove,,,
33,Murphy's,52.5722332,-6.861485,"Ballymurphy, Co. Carlow, Ireland"
34,Molloys Public House,53.2880048,-6.359526300000001,"24 Main St, Tallaght, Dublin, Ireland"
36,The Mall,52.8429787,-6.977504199999999,"Clonmore, Killeshin, Co. Laois, Ireland"
38,Bridge House Finlans,61.92410999999999,25.7481511,Finland
39,Racey Byrne's The Plough,52.8361648,-6.9257332,"83 Tullow St, Carlow, Ireland"
41,Palatine House,52.8649974,-6.861034699999999,"Killyshane, Palatine, Co. Carlow, Ireland"
43,Dicey Reilly's,52.8371925,-6.9358857,"Centaur St, Graigue, Carlow, Ireland"
45,The Castle Inn,52.8366851,-6.9360835,"Castle Hill, Graigue, Carlow, Ireland"
46,The Barracks Bar,52.8360764,-6.9289627,"32 Tullow St, Graigue, Carlow, Ireland"
47,Glenside,52.84819779999999,-6.9908724,"Killeshin Rd, Clonmore, Carlow, Co. Laois, Ireland"
48,The Garrison Bar,52.73621,-6.97769,"Main St, Ballyknockan, Leighlinbridge, Co. Carlow, Ireland"
49,Bolands Bar And Lounge,52.8646985,-6.5576991,"Main St, Hacketstown Upper, Hacketstown, Co. Carlow, Ireland"
54,Ewings,52.8376227,-6.932743500000001,"Hay Market, Graigue, Carlow, Ireland"
61,Sheriff Guevaras,52.8372992,-6.9296494,"11 Brown St, Graigue, Carlow, Ireland"
62,Mcsiuls,53.3540317,-6.264429900000001,"Rotunda, Dublin, Ireland"
64,The Rainbow Bar,52.73279489999999,-6.9816803,"Church St, Leighlinbridge, Co. Carlow, Ireland"
65,Scraggs Alley,52.8363696,-6.931325999999999,"12 Tullow St, Graigue, Carlow, R93 PP79, Ireland"
70,The Thatch Bar,52.8372743,-6.938454999999999,"5 Maryborough St, Graiguecullen, Carlow, Co. Carlow, R93 H4F8, Ireland"
71,Lennons,52.8379139,-6.9280052,"Old Dublin Rd, Graigue, Carlow, Ireland"
73,The Royal Oak Tavern,52.7013971,-6.985793900000001,"Clorusk Lower, Co. Carlow, Ireland"
74,The Granite House,52.8027483,-6.7370714,"Granite House, Bridge St, Templeowen, Tullow, Co. Carlow, Ireland"
76,The Fighting Cocks,52.7604382,-6.8519152,"Templepeter, Co. Carlow, Ireland"
79,Carpenter's,52.8351456,-6.9259146,"10 Barrack St, Carlow, Ireland"
80,Reddys Of Carlow,52.836017,-6.9254798,"67 Tullow St, Carlow, Ireland"
82,The Hogan Stand,52.8017811,-6.738625799999999,"Abbey Close, Templeowen, Tullow, Co. Carlow, Ireland"
89,The Pint Depot,52.7013971,-6.985793900000001,"Clorusk Lower, Co. Carlow, Ireland"
90,The High Trees,52.89297,-7.020919999999999,"Rathtillig, Arles, Co. Laois, Ireland"
91,Daltons Public House,52.8027041,-6.7370452,"Bridge House, Abbey St, Templeowen, Tullow, Co. Carlow, Ireland"
94,The Kilree Arms,52.699971,-6.957948099999999,"Kilree St, Co. Carlow, Ireland"
103,Joyce's,52.6003362,-6.923970400000001,"Main St, Knocknagundarragh, Borris, Co. Carlow, Ireland"
109,Jd Wetherspoon Ireland,53.3892063,-6.3888826,"Westend Retail Park, Blanchardstown, Dublin 15, Co. Dublin, Ireland"
111,Teach Dolmen,52.8361913,-6.9254396,"76 Tullow St, Carlow, R93 NY70, Ireland"
112,Conways,52.6834393,-6.6848611,"Kildavin, Bunclody, Co. Wexford, Ireland"
113,The Lord Bagenal,52.73616999999999,-6.976642000000001,"Main St, Ballyknockan, Leighlinbridge, Co. Carlow, Ireland"
115,The John Tyndall,52.8351435,-6.9256408,"Barrack St, Carlow, Co. Carlow, Ireland"
118,The Railway House,52.7006076,-6.9573152,"Kilcarrig, Co. Carlow, Ireland"
122,Griffin's Lounge,52.803053,-6.736097699999999,"The Square, Tullowphelim, Tullow, Co. Carlow, Ireland"
125,The Rathvilly Inn,52.8572189,-6.6728871,"Germaines, Rathvilly, Co. Carlow, Ireland"
127,O'kelly's,52.8365072,-6.9341359,"Carlow, Ireland"
132,Kelly's Bar,52.73279489999999,-6.9816803,"Church St, Ballyknockan, Leighlinbridge, Co. Carlow, Ireland"
134,Tully's Bar,52.836536100000004,-6.9315834999999995,"148-149 Tullow St, Graigue, Carlow, R93 W243, Ireland"
141,Estoria,52.7020287,-6.957647499999999,"Main St, Kilcarrig, Bagenalstown, Co. Carlow, Ireland"
144,The Irishman,52.83879659999999,-6.929956,"College St, Graigue, Carlow, Ireland"
146,Forans Public House,52.8027041,-6.7370452,"Bridge House, Abbey St, Templeowen, Tullow, Co. Carlow, Ireland"
149,Kavanagh's,52.738981,-6.770293,"Main St, Ballon, Co. Carlow, Ireland"
153,Castle Off Licence,52.26916800000001,-9.700069,"80 Boherbee, Cloonalour, Tralee, Co. Kerry, Ireland"
159,Nancy Whiskey's,52.8372856,-6.9329671,"Hay Market, Graigue, Carlow, Ireland"
160,Osborne's Pub,52.6012189,-6.8324591,"Rathanna, Co. Carlow, Ireland"
161,John A's,52.4911459,-6.9297737999999995,"Ballyknock, St Mullin's, Co. Carlow, Ireland"
163,Blanchfields,52.4877016,-6.928736000000001,"The Quay, Saint Mullin's, Co. Carlow, Ireland"
164,Miller's Bar,52.83164679999999,-6.9098418,"Carlow, Ireland"
165,The Deereen Inn,52.80110260000001,-6.7351142,"Mill Street, Templeowen, Tullow, Co. Carlow, Ireland"
166,The Corner,52.8646985,-6.5576991,"Main St, Hacketstown Upper, Hacketstown, Co. Carlow, Ireland"
170,Eagle Bar,53.9236832,-7.582612200000001,"Main St, Arvagh, Co. Cavan, Ireland"
172,The Oakland Arms,54.0730415,-7.0833206,"22 Bridge St, Drumaveil North, Cootehill, Co. Cavan, Ireland"
173,The Swan Bar,54.1937636,-7.7047113,"Hawkswood, Swanlinbar, Co. Cavan, Ireland"
175,The Thomas Ashe,53.9923635,-7.3608567,"Thomas Ashe St, Abbeyland, Cavan, Ireland"
181,The Stray Sod,54.0410603,-7.223724,"Drung, Aghnadaragan, Drung, Co. Cavan, Ireland"
185,The Beer Garden,53.8645112,-7.2050786,"Stradone St, Cornahilt, Ballyjamesduff, Co. Cavan, Ireland"
186,Crannog,53.9304706,-7.409794400000001,"Main Street Ballinagh Cavan, Ballinagh, Co. Cavan, Ireland"
187,Mcseain's Cornafean,53.9467273,-7.4864902,"Cornafean, Co. Cavan, Ireland"
188,The Vault Bar,53.989838,-7.360364499999999,"47 Main St, Townparks, Cavan, Ireland"
189,The Riverfront Hotel,53.8348337,-7.0823719,"5 Main St, Rahardrum, Virginia, Co. Cavan, A82 N9X7, Ireland"
192,Clarke's Xl,53.9174592,-6.9722068,"Lower Main Street, Beckscourt, Bailieborough, Co. Cavan, Ireland"
193,Crossans,53.9160804,-6.9695699,"Main St, Tanderagee, Bailieborough, Co. Cavan, Ireland"
196,The Castle Sport Bar And Lounge,54.100623,-7.444873,"No, 4 The Diamond, Belturbet, Co. Cavan, Ireland"
197,The Whiskey Barrell And Donohoes Bar,52.5029204,-6.5727062,"Duffry Gate, Templeshannon, Enniscorthy, Co. Wexford, Ireland"
198,Nicholas O'hara,53.9236832,-7.582612200000001,"Main St, Arvagh, Co. Cavan, Ireland"
199,The Imperial Hotel,53.989838,-7.360364499999999,"47 Main St, Townparks, Cavan, Ireland"
200,The Vintage Bar,54.0157047,-7.529079299999999,"Main St, Portaliff Glebe, Killashandra, Co. Cavan, Ireland"
201,Crosskeys Inn,53.919272,-7.265253999999999,"Killatain Cross keys Cavan, Cross keys, Cavan, Ireland"
203,An Cruiscin Lan,53.9888394,-7.3606068,"82 Main St, Townparks, Cavan, H12 F3X9, Ireland"
205,Laragh House,53.9945761,-7.217962300000001,"Laragh House, Larah, Stradone, Co. Cavan, Ireland"
206,The Hideaway Bar,53.9279315,-7.0035481,"Cavan Rd, Leiter, Bailieborough, Co. Cavan, Ireland"
213,Willows,53.9049519,-6.8047508,"Main St, Lisasturrin, Kingscourt, Co. Cavan, Ireland"
216,Langtrys,53.8636,-7.207944,"Granard Rd, Cornahilt, Ballyjamesduff, Co. Cavan, Ireland"
219,The Blackhorse Inn,53.9933931,-7.359576400000001,"Church St, Abbeyland, Cavan, Ireland"
220,Mccabe's,53.8630541,-7.2069897,"Chapel St, Cornahilt, Co. Cavan, Ireland"
222,The Bridge Tavern,53.9802948,-7.046678099999999,"Tullylorcan, Co. Cavan, Ireland"
223,The Molly Maguires,54.1171847,-7.5826478,"R205, Doon, Co. Cavan, Ireland"
224,Hannigans,54.0738777,-7.0811739,"38 Main st Cootehill Co. Cavan, Co. Cavan, Ireland"
225,Hannigans,54.0738777,-7.0811739,"38 Main st Cootehill Co. Cavan, Co. Cavan, Ireland"
230,Brady's The Cross,53.98207,-7.2366319,"Aghagolrick, Stradone, Co. Cavan, Ireland"
231,The Virginia Park Lodge,53.834777,-7.0931049999999995,"Virginia, Co. Cavan, Ireland"
